Year,Motor vehicles sales(in million units),GDP Per Capita(Rs),GDP (Constant LCU)(Rs),Petrol prices(Rs),diesel prices(Rs),Population,Inflation rate,Unemployment rate
1993,2.68,30275.69041,2.81E+13,15.71,6.98,927403866,6.326890488,5.690999985
1994,2.757,31670.27634,2.99E+13,16.78,7.15,945601828,10.24793556,5.738999844
1995,2.857,33421.60505,3.22E+13,18.21,8.03,963922586,10.22488616,5.755000114
1996,3.5,35269.95895,3.46E+13,21.13,9.04,982365248,8.977152338,5.739999771
1997,3.965,36018.74529,3.61E+13,22.84,9.87,1000900028,7.164252115,5.612999916
1998,3.985,37549.12539,3.83E+13,23.94,10.01,1019483586,13.23083898,5.665999889
1999,4.274,40139.30771,4.17E+13,23.8,13.21,1038058154,4.66982038,5.736000061
2000,4.715,40950.55868,4.33E+13,25.94,16.55,1056575548,4.00943591,5.56099987
2001,4.643,42190.28634,4.54E+13,26.54,17.06,1075000094,3.779293122,5.576000214
2002,5.2257,43061.46347,4.71E+13,27.54,18.57,1093317187,4.297152039,5.53000021
2003,5.9415,45685.50207,5.08E+13,33.49,20.73,1111523146,3.805858995,5.643000126
2004,6.7948,48515.1034,5.48E+13,35.71,26.28,1129623466,3.767251735,5.629000187
2005,7.896,51538.54026,5.91E+13,37.99,30.45,1147609924,4.24634362,5.612999916
2006,8.9064,54838.69948,6.39E+13,43.5,31.28,1165486291,5.796523376,5.600999832
2007,10.123,58155.43953,6.88E+13,43,30.48,1183209471,6.372881356,5.572000027
2008,9.6544,59078.7143,7.09E+13,45.5,32.86,1200669762,8.349267049,5.414000034
2009,9.724,62830.8556,7.65E+13,44.7,32.98,1217726217,10.88235294,5.544000149
2010,12.295,67255.62289,8.30E+13,48,38.1,1234281163,11.98938992,5.546000004
2011,15.481,69874.53401,8.74E+13,58.5,37.75,1250287939,8.858360966,5.426000118
2012,17.361,72785.27864,9.21E+13,65.6,40.91,1265780243,9.312445605,5.414000034
2013,17.793,76522.85693,9.80E+13,66.09,48.63,1280842119,11.06367478,5.423999786
2014,18.423,81257.08084,1.05E+14,72.26,55.48,1295600768,6.649500151,5.43599987
2015,19.752,86779.92885,1.14E+14,60.59,49.71,1310152392,4.906973441,5.434999943
2016,20.468,92925.88091,1.23E+14,62.51,54.28,1324517250,4.948216341,5.422999859
2017,22,98190.85795,1.31E+14,63.09,53.33,1338676779,3.328173375,5.357999802
2018,24.981,103525.6433,1.40E+14,75.55,67.38,1352642283,3.945068664,5.329999924
2019,26.266,106623.8184,1.46E+14,72.96,66.69,1366417756,3.723276483,5.269999981
2020,21.546,97918.09674,1.35E+14,79.76,79.88,1380004385,6.623436776,7.997000217
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,3759398,,,,
,,,,677119,,,,
